UniqueID,ObservationID,Site,PugetSoundRegion,OnOff,Habitat,ReferenceType,reference_treatment,CenterEdge,EdgeOtherSide,HabitatDet,HabitatDetReg,RefTreSiteNo,SD_card_number,video_segment_number,VideoDate,ObservationDate,Media_file,visibility,eelgrass_algae_bare,eelgrass_obstructing_view,time_of_high_tide,Total_media_length,FPS,Subject,vertical_distribution,trophic_level,TL,morphology,prey_phyla,reproductive_mode_functional_group,feeding_mode,count,Behavior,Modifiers,Behavior_type,Start,Stop,Comment_start,Comment_stop,NewFG,NewFG2,Year,Month,NewFG3,VideoDate_M,VideoDate_D,VideoDate_Y,Date_eel,Month_eel,Day_eel,Year_eel,Region_eel,Location_eel,HabitatType_eel,ReferenceFor_eel,J_NumSquaresShoots_eel,J_NumShootsDiagonal_eel,J_MaxBladeLength_cm_eel,J_SheathLength_cm_eel,J_MaxSheathWidth_eel,J_DryEpiphyteMass__eel,J_DryAboveGroundEelgrassBiomass__eel,M_NumSquaresShoots_eel,M_NumShootsDiagonal_eel,M_NMaxBladeLength_cm_eel,M_NSheathLength_cm_eel,M_NMaxSheathWidth_eel,M_NDryEpiphyteMass__eel,M_NDryAboveGroundEelgrassBiomass__eel,O_NumSquaresShoots_eel,O_NumShootsDiagonal_eel,O_MaxBladeLength_cm_eel,O_SheathLength_cm_eel,O_MaxSheathWidth_eel,O_DryEpiphyteMass__eel,O_DryAboveGroundEelgrassBiomass__eel
1583,SD13 518 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,518,6_12_2018,43341.62986,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0518.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,48.56,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,53.332,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,SD13 518 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,518,6_12_2018,43341.62986,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0518.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,56.667,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,53.606,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,SD13 518 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,518,6_12_2018,43341.62986,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0518.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,68.293,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,53.81,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,SD13 519 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,519,6_12_2018,43341.63403,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0519.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,18.118,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,54.139,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,SD13 519 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,519,6_12_2018,43341.63403,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0519.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,28.101,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,54.243,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,SD13 519 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,519,6_12_2018,43341.63403,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0519.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,47.047,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,55.825,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,unknown flatfish,demersal,3.6 ± 0.36,3.6,depressed,NA,NA,NA,1,f,,POINT,14.384,0,,,Fl,FL,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,SD13 520 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,520,6_12_2018,43341.63542,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0520.MP4,medium,b,no,NA,119.89,59.94,staghorn sculpin,demersal,3.7 ± 0.64,3.7,cottoid-like,3,O,ZB,1,o,NA,POINT,81.478,0,NA,NA,DemOpp,SmDemZB,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,SD33 311 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,311,7_26_2017,43054.48611,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0311.MP4,medium,a,no,0.323611111,120.85,59.94,unknown flatfish,demersal,3.6 ± 0.36,3.6,depressed,NA,NA,NA,1,f,,POINT,14.64,0,,,Fl,FL,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,SD13 521 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,521,6_12_2018,43341.6375,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0521.MP4,medium,b,no,NA,119.92,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,7.238,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,SD13 521 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,521,6_12_2018,43341.6375,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0521.MP4,medium,b,no,NA,119.92,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,7.75,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,55.956,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,SD13 521 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,521,6_12_2018,43341.6375,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0521.MP4,medium,b,no,NA,119.92,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,105.734,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,56.436,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,SD13 521 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,521,6_12_2018,43341.6375,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0521.MP4,medium,b,no,NA,119.92,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,105.991,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,56.62,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,SD13 521 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,521,6_12_2018,43341.6375,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0521.MP4,medium,b,no,NA,119.92,59.94,sculpin,demersal,3.7 ± 0.64,3.7,cottoid-like,3,O,ZB,1,o,NA,POINT,45.362,0,NA,NA,DemOpp,SmDemZB,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,56.692,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,SD13 522 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,522,6_12_2018,43341.63889,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0522.MP4,medium,b,no,NA,119.89,59.94,staghorn sculpin,demersal,3.7 ± 0.64,3.7,cottoid-like,3,O,ZB,1,o,NA,POINT,6.981,0,NA,NA,DemOpp,SmDemZB,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,56.942,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,SD13 522 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,522,6_12_2018,43341.63889,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0522.MP4,medium,b,no,NA,119.89,59.94,staghorn sculpin,demersal,3.7 ± 0.64,3.7,cottoid-like,3,O,ZB,1,o,NA,POINT,14.405,0,NA,NA,DemOpp,SmDemZB,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,57.36,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,SD13 522 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,522,6_12_2018,43341.63889,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0522.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,29.488,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,57.445,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,SD13 523 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,523,6_12_2018,43341.64028,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0523.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,5.765,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,57.76,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,SD13 523 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,523,6_12_2018,43341.64028,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0523.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,6.79,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,58.069,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,SD13 523 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,523,6_12_2018,43341.64028,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0523.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,11.654,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1618,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,58.177,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,SD13 524 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,524,6_12_2018,43341.64167,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0524.MP4,medium,b,no,NA,119.89,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,s,NA,POINT,118.576,0,NA,NA,PelFusZP,PelFusZP,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,58.381,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1621,SD13 524 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,524,6_12_2018,43341.64167,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0524.MP4,medium,b,no,NA,119.89,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,s,NA,POINT,119.088,0,NA,NA,PelFusZP,PelFusZP,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,58.772,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,SD13 524 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,524,6_12_2018,43341.64167,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0524.MP4,medium,b,no,NA,119.89,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,s,NA,POINT,119.46,0,NA,NA,PelFusZP,PelFusZP,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,SD33 310 7_26_2017,Chelsea,South Sound,On,Geoduck (no tubes),NA,T,Center,NA,Geoduck (no tubes),Geoduck (no tubes)_S,10,SD33,310,7_26_2017,43054.48264,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD33/GOPR0310.MP4,medium,a,no,0.323611111,120.85,59.94,shiner perch,pelagic/free swimming,3 ± 0.31,3,fusiform,3,V,ZP,1,t,,POINT,58.913,0,,heavy filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,SD13 524 6_12_2018,Jamestown,JuanFuca,on bottom,Clam,NA,T,Center,NA,Clam,,,13,524,6_12_2018,43341.64167,F:/Video Backup 2018/June 2018/Jamestown/SD13_12Jun2018_JST_SequimBay/GOPR0524.MP4,medium,b,no,NA,119.89,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,26.694,0,NA,NA,Crabs,Crabs,2018,6,,6,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
